,item,scm,j,ci95,zero
0,rs_o,simpson_nlin,1,0.013673128828726443,0.89453125
1,rs_o,simpson_nlin,3,--,1.0
2,rs_o,simpson_nlin,5,--,1.0
3,rs_o,triangle_nlin,1,0.01473708989528077,0.844921875
4,rs_o,triangle_nlin,3,0.0,0.9982421875
5,rs_o,triangle_nlin,5,0.0,0.9998046875
6,rs_o,largebd_nlin,1,0.019441975957198092,0.9927734375
7,rs_o,largebd_nlin,3,--,1.0
8,rs_o,largebd_nlin,5,--,1.0
9,rs_p,simpson_nlin,1,0.012289056854164584,0.90296875
10,rs_p,simpson_nlin,3,,1.0
11,rs_p,simpson_nlin,5,,0.9999218750000001
12,rs_p,triangle_nlin,1,0.012545075158266384,0.8526171874999999
13,rs_p,triangle_nlin,3,,0.99875
14,rs_p,triangle_nlin,5,,0.9998828124999999
15,maf_o,simpson_nlin,1,0.005431767947350291,0.0005859375
16,maf_o,simpson_nlin,3,0.014526462199672938,0.0228515625
17,maf_o,simpson_nlin,5,0.02121077206822543,0.00625
18,maf_o,triangle_nlin,1,0.00727750277476258,0.111328125
19,maf_o,triangle_nlin,3,0.013284814587344667,0.12421875
20,maf_o,triangle_nlin,5,0.02010252334908504,0.1033203125
21,maf_o,largebd_nlin,1,0.0067925091461053366,0.00078125
22,maf_o,largebd_nlin,3,0.013452964822582607,0.0271484375
23,maf_o,largebd_nlin,5,0.01685688770679366,0.009375
24,maf_p,simpson_nlin,1,0.00475031810949762,0.0071484375
25,maf_p,simpson_nlin,3,0.012240816348366795,0.40144531249999993
26,maf_p,simpson_nlin,5,0.016270704745450178,0.6134375
27,maf_p,triangle_nlin,1,0.007643584824847902,0.10734375
28,maf_p,triangle_nlin,3,0.013517301972739199,0.4985546875000001
29,maf_p,triangle_nlin,5,0.024162031747210978,0.62109375
30,maf_p,largebd_nlin,1,0.006565101708761846,0.03527343749999999
31,nice_o,simpson_nlin,1,0.006324120209000878,0.001171875
32,nice_o,simpson_nlin,3,0.01622123056581036,0.017578125
33,nice_o,simpson_nlin,5,0.04601414989798602,0.00625
34,nice_o,triangle_nlin,1,0.005425003114861549,0.08203125
35,nice_o,triangle_nlin,3,0.016496186289259824,0.1712890625
36,nice_o,triangle_nlin,5,0.02348681927047956,0.3119140625
37,nice_o,largebd_nlin,1,0.006740644724290453,0.0126953125
38,nice_o,largebd_nlin,3,0.014231682466655304,0.03203125
39,nice_o,largebd_nlin,5,0.06538914118119837,0.0130859375
40,nice_p,simpson_nlin,1,0.005158308858098435,0.0075000000000000015
41,nice_p,simpson_nlin,3,0.012662407931321364,0.40179687499999994
42,nice_p,simpson_nlin,5,0.017627038510983996,0.6119140625
43,nice_p,triangle_nlin,1,0.006782052425880439,0.1484375
44,nice_p,triangle_nlin,3,0.018368506351599884,0.554453125
45,nice_p,largebd_nlin,1,0.007098547186095777,0.0811328125
