,scm,method,model,seed,seed2,q,estimate
0,fairness,rs_gan_ncm,-,0,0,ate,-0.3754999871334418
1,fairness,rs_gan_ncm,-,0,0,ate,-0.38599993561982554
2,fairness,rs_gan_ncm,-,0,0,ate,-0.3935997392454926
3,fairness,rs_gan_ncm,-,0,0,ate,-0.38140023918539756
4,fairness,rs_gan_ncm,-,0,0,ate,-0.38170024390404494
5,fairness,rs_gan_ncm,-,0,0,ate,-0.3835000897913513
6,fairness,rs_gan_ncm,-,0,0,ate,-0.38419970880750126
7,fairness,rs_gan_ncm,-,0,0,ate,-0.40079969477384547
8,fairness,rs_gan_ncm,-,0,0,ate,-0.3896997751626082
9,fairness,rs_gan_ncm,-,0,0,ate,-0.3855002654389312
10,fairness,rs_gan_ncm,-,0,7,ate,-0.07039959527280726
11,fairness,rs_gan_ncm,-,0,7,ate,-0.06999997245838474
12,fairness,rs_gan_ncm,-,0,7,ate,-0.06849993186993797
13,fairness,rs_gan_ncm,-,0,7,ate,-0.07229952182717403
14,fairness,rs_gan_ncm,-,0,7,ate,-0.07100011593677458
15,fairness,rs_gan_ncm,-,0,7,ate,-0.07829988053951276
16,fairness,rs_gan_ncm,-,0,7,ate,-0.07359988484535418
17,fairness,rs_gan_ncm,-,0,7,ate,-0.06879978254140584
18,fairness,rs_gan_ncm,-,0,7,ate,-0.07190045391948163
19,fairness,rs_gan_ncm,-,0,7,ate,-0.08480006515224114
20,fairness,rs_gan_ncm,-,0,42,ate,-0.35080012734737215
21,fairness,rs_gan_ncm,-,0,42,ate,-0.3436001005927511
22,fairness,rs_gan_ncm,-,0,42,ate,-0.34620004611252747
23,fairness,rs_gan_ncm,-,0,42,ate,-0.33920010563362096
24,fairness,rs_gan_ncm,-,0,42,ate,-0.3442999144234554
25,fairness,rs_gan_ncm,-,0,42,ate,-0.34460013030777786
26,fairness,rs_gan_ncm,-,0,42,ate,-0.341499961768528
27,fairness,rs_gan_ncm,-,0,42,ate,-0.3544000110119923
28,fairness,rs_gan_ncm,-,0,42,ate,-0.34359975744136734
29,fairness,rs_gan_ncm,-,0,42,ate,-0.3463996591098199
30,fairness,rs_gan_ncm,-,0,3407,ate,-0.6173000875577735
31,fairness,rs_gan_ncm,-,0,3407,ate,-0.6274998950650108
32,fairness,rs_gan_ncm,-,0,3407,ate,-0.6267002076318505
33,fairness,rs_gan_ncm,-,0,3407,ate,-0.630700021048249
34,fairness,rs_gan_ncm,-,0,3407,ate,-0.6302001988734247
35,fairness,rs_gan_ncm,-,0,3407,ate,-0.6284998444271116
36,fairness,rs_gan_ncm,-,0,3407,ate,-0.6303996195173914
37,fairness,rs_gan_ncm,-,0,3407,ate,-0.6286998706972418
38,fairness,rs_gan_ncm,-,0,3407,ate,-0.6162999588109864
39,fairness,rs_gan_ncm,-,0,3407,ate,-0.6289000152769311
40,fairness,rs_gan_ncm,-,0,65535,ate,-0.07339992984721366
41,fairness,rs_gan_ncm,-,0,65535,ate,-0.06950044597146454
42,fairness,rs_gan_ncm,-,0,65535,ate,-0.07259985699305838
43,fairness,rs_gan_ncm,-,0,65535,ate,-0.05959998840469438
44,fairness,rs_gan_ncm,-,0,65535,ate,-0.08619970887199813
45,fairness,rs_gan_ncm,-,0,65535,ate,-0.06729990774380956
46,fairness,rs_gan_ncm,-,0,65535,ate,-0.06059959053094044
47,fairness,rs_gan_ncm,-,0,65535,ate,-0.062200046525816566
48,fairness,rs_gan_ncm,-,0,65535,ate,-0.06920004090211318
49,fairness,rs_gan_ncm,-,0,65535,ate,-0.05429986973334777
50,fairness,rs_gan_ncm,-,7,0,ate,-0.38139965784543367
51,fairness,rs_gan_ncm,-,7,0,ate,-0.3751000676608345
52,fairness,rs_gan_ncm,-,7,0,ate,-0.37319992326345897
53,fairness,rs_gan_ncm,-,7,0,ate,-0.3836997090093675
54,fairness,rs_gan_ncm,-,7,0,ate,-0.3831003061853386
55,fairness,rs_gan_ncm,-,7,0,ate,-0.3903998773158038
56,fairness,rs_gan_ncm,-,7,0,ate,-0.38989952495134744
57,fairness,rs_gan_ncm,-,7,0,ate,-0.3773003376006328
58,fairness,rs_gan_ncm,-,7,0,ate,-0.39039991221499937
59,fairness,rs_gan_ncm,-,7,0,ate,-0.3886000608903533
60,fairness,rs_gan_ncm,-,7,7,ate,-0.06820025118944228
61,fairness,rs_gan_ncm,-,7,7,ate,-0.06760045647930302
62,fairness,rs_gan_ncm,-,7,7,ate,-0.0700998557529039
63,fairness,rs_gan_ncm,-,7,7,ate,-0.08039986751266848
64,fairness,rs_gan_ncm,-,7,7,ate,-0.06829952631749492
65,fairness,rs_gan_ncm,-,7,7,ate,-0.08000019659134172
66,fairness,rs_gan_ncm,-,7,7,ate,-0.09640021270073085
67,fairness,rs_gan_ncm,-,7,7,ate,-0.08070009173455384
68,fairness,rs_gan_ncm,-,7,7,ate,-0.08640037375234211
69,fairness,rs_gan_ncm,-,7,7,ate,-0.08540032578289591
70,fairness,rs_gan_ncm,-,7,42,ate,-0.3523997367678558
71,fairness,rs_gan_ncm,-,7,42,ate,-0.3523997318292383
72,fairness,rs_gan_ncm,-,7,42,ate,-0.34619961460238574
73,fairness,rs_gan_ncm,-,7,42,ate,-0.3411000901290132
74,fairness,rs_gan_ncm,-,7,42,ate,-0.3615999865243617
75,fairness,rs_gan_ncm,-,7,42,ate,-0.3559996916733006
76,fairness,rs_gan_ncm,-,7,42,ate,-0.35049985776733383
77,fairness,rs_gan_ncm,-,7,42,ate,-0.33690012164210437
78,fairness,rs_gan_ncm,-,7,42,ate,-0.35249985895631447
79,fairness,rs_gan_ncm,-,7,42,ate,-0.34820001051505106
80,fairness,rs_gan_ncm,-,7,3407,ate,-0.6246998688242378
81,fairness,rs_gan_ncm,-,7,3407,ate,-0.6286999322738156
82,fairness,rs_gan_ncm,-,7,3407,ate,-0.6166001897140612
83,fairness,rs_gan_ncm,-,7,3407,ate,-0.6244999601568463
84,fairness,rs_gan_ncm,-,7,3407,ate,-0.63209987958409
85,fairness,rs_gan_ncm,-,7,3407,ate,-0.6248002432451216
86,fairness,rs_gan_ncm,-,7,3407,ate,-0.6250998598768873
87,fairness,rs_gan_ncm,-,7,3407,ate,-0.6198999473976081
88,fairness,rs_gan_ncm,-,7,3407,ate,-0.6263996373798273
89,fairness,rs_gan_ncm,-,7,3407,ate,-0.6332998918538146
90,fairness,rs_gan_ncm,-,7,65535,ate,-0.0668001595112051
91,fairness,rs_gan_ncm,-,7,65535,ate,-0.06670015347278502
92,fairness,rs_gan_ncm,-,7,65535,ate,-0.08689997668165939
93,fairness,rs_gan_ncm,-,7,65535,ate,-0.08129997975572467
94,fairness,rs_gan_ncm,-,7,65535,ate,-0.0662000474955714
95,fairness,rs_gan_ncm,-,7,65535,ate,-0.07630016509561233
96,fairness,rs_gan_ncm,-,7,65535,ate,-0.07509993455815378
97,fairness,rs_gan_ncm,-,7,65535,ate,-0.06640022496729525
98,fairness,rs_gan_ncm,-,7,65535,ate,-0.06599983343908533
99,fairness,rs_gan_ncm,-,7,65535,ate,-0.06770040678144074
100,fairness,rs_gan_ncm,-,42,0,ate,-0.3857000550480795
101,fairness,rs_gan_ncm,-,42,0,ate,-0.37879955673676474
102,fairness,rs_gan_ncm,-,42,0,ate,-0.38010010146089
103,fairness,rs_gan_ncm,-,42,0,ate,-0.3819998934746927
104,fairness,rs_gan_ncm,-,42,0,ate,-0.37749989330967443
105,fairness,rs_gan_ncm,-,42,0,ate,-0.3834997831372082
106,fairness,rs_gan_ncm,-,42,0,ate,-0.3808998862277704
107,fairness,rs_gan_ncm,-,42,0,ate,-0.39520003605604165
108,fairness,rs_gan_ncm,-,42,0,ate,-0.37680030459098274
109,fairness,rs_gan_ncm,-,42,0,ate,-0.38059961196992415
110,fairness,rs_gan_ncm,-,42,7,ate,-0.06709980533095561
111,fairness,rs_gan_ncm,-,42,7,ate,-0.07230027551004092
112,fairness,rs_gan_ncm,-,42,7,ate,-0.07409997865496565
113,fairness,rs_gan_ncm,-,42,7,ate,-0.07160037106014516
114,fairness,rs_gan_ncm,-,42,7,ate,-0.07859970211185308
115,fairness,rs_gan_ncm,-,42,7,ate,-0.06490019725500085
116,fairness,rs_gan_ncm,-,42,7,ate,-0.06999995652848245
117,fairness,rs_gan_ncm,-,42,7,ate,-0.07249980977426662
118,fairness,rs_gan_ncm,-,42,7,ate,-0.0727001342766237
119,fairness,rs_gan_ncm,-,42,7,ate,-0.07449994441149521
